feature,importance
missingindicator_de_000,0.0023546566455682604
bp_000,0.00234711069661128
missingindicator_ed_000,0.002287274941001723
missingindicator_ec_00,0.0022399641264816616
dp_000,0.002234109697774214
missingindicator_bk_000,0.002194927398510394
missingindicator_cm_000,0.0021877264093275225
cn_006,0.0021656902487868076
ay_007,0.002093832288744355
cm_000,0.001974798292008146
az_001,0.00194033537267559
ed_000,0.001900540103411202
cx_000,0.0018339959247115865
cb_000,0.0017787641906818294
dx_000,0.0017232826786251938
missingindicator_cr_000,0.00171899133401697
ee_004,0.001717351036226875
cv_000,0.0016753942162967765
ee_001,0.001662176147273165
dr_000,0.0016452450304661782
ay_006,0.0015932711051565465
cs_006,0.0015492102959384403
missingindicator_eg_000,0.0015302934284160481
missingindicator_ab_000,0.0014970137783741585
eb_000,0.0014747701645468334
missingindicator_cf_000,0.0014670581003127432
dq_000,0.0014611612708424855
dc_000,0.0014263875258096084
cs_007,0.0014139299117600424
de_000,0.001406267118196401
missingindicator_dr_000,0.001405451244465795
missingindicator_do_000,0.001364626741090552
ca_000,0.0013538734177853799
ag_007,0.0013332389535603935
az_002,0.0013220546960098678
missingindicator_aj_000,0.0012946406485257957
do_000,0.0012942412120087881
missingindicator_dp_000,0.0012794946138364942
missingindicator_bs_000,0.0012514744573880585
missingindicator_dt_000,0.0012439298179733756
ba_009,0.001239234095546839
cn_000,0.0012004074920849003
missingindicator_ef_000,0.001200345192823519
missingindicator_cu_000,0.0011742911721355472
du_000,0.0011346393996203086
missingindicator_aq_000,0.0011209903831511084
missingindicator_cb_000,0.001097906654587763
az_000,0.0010921176946062654
ai_000,0.0010407191614252933
ee_008,0.0010392614169703008
dv_000,0.0010144832243787324
be_000,0.0009902954574616655
missingindicator_dc_000,0.000977086987694727
missingindicator_dv_000,0.0009532728330692436
missingindicator_am_0,0.000951589062904859
cn_007,0.0009445212545659056
cn_008,0.0009344197961322168
bc_000,0.0009343281819930219
missingindicator_ah_000,0.00092555963381186
az_006,0.0009158948140016403
ec_00,0.0009091800004979433
missingindicator_au_000,0.000877970112585244
ag_008,0.0008717066171847266
cn_009,0.0008711716644249792
bd_000,0.0008619493622430724
missingindicator_cv_000,0.0008585541920133119
missingindicator_ch_000,0.0008565461867540419
cs_008,0.0008537722085462605
missingindicator_as_000,0.0008511924147315362
bz_000,0.0008488767363369762
az_007,0.0008427048224228165
ar_000,0.0008426046123067002
missingindicator_co_000,0.0008382836781801647
cg_000,0.0008371632536458106
di_000,0.0008192041032541516
dg_000,0.0008033269444929761
av_000,0.0007987774680656458
missingindicator_da_000,0.0007851179290929679
missingindicator_cg_000,0.0007725041895441283
missingindicator_du_000,0.0007702194034049636
missingindicator_cx_000,0.0007680926209197288
dy_000,0.0007501486742748897
missingindicator_db_000,0.0007485587801492517
ee_009,0.000735776083269801
missingindicator_bb_000,0.0007244074360732958
missingindicator_av_000,0.0007228438530007764
missingindicator_ae_000,0.000699873611437249
az_003,0.0006946062841486323
bf_000,0.0006934474696339602
missingindicator_bj_000,0.0006928466627843988
missingindicator_ds_000,0.000692318372642787
missingindicator_ax_000,0.0006913309506470423
missingindicator_bd_000,0.0006810489455843138
missingindicator_al_000,0.0006728404968422449
missingindicator_ao_000,0.0006650209824039424
ax_000,0.0006638596450876707
missingindicator_dq_000,0.000661287467929049
ay_003,0.000631758365943415
ay_000,0.00063013921322335
missingindicator_bi_000,0.0006193160112463798
ay_005,0.0006001824398081944
cl_000,0.0005896578563470144
missingindicator_dn_000,0.0005855828247784192
missingindicator_cd_000,0.0005742156255974213
missingindicator_dd_000,0.0005714124161150673
missingindicator_be_000,0.0005642591240098647
cu_000,0.0005625969405175875
missingindicator_cy_000,0.0005577149757484046
missingindicator_bg_000,0.0005548965934406208
cp_000,0.000550415710833918
missingindicator_ai_000,0.00054633990348492
ag_001,0.0005461375439877562
aj_000,0.0005444308275201611
missingindicator_ad_000,0.0005243154492135256
ag_009,0.0005219730445737335
co_000,0.0005056039076541134
ay_004,0.000498841168890498
missingindicator_bu_000,0.0004821943250181107
missingindicator_cz_000,0.0004796472859025636
missingindicator_ct_000,0.00047919783084533963
at_000,0.0004662745505254357
cz_000,0.00044204046531996967
missingindicator_an_000,0.00043125601802894615
ay_002,0.0004309712818454145
ct_000,0.0004233927524107795
ay_009,0.0004122567177274442
cf_000,0.00037964306541723276
ad_000,0.00037415805822619717
db_000,0.00035885516387005126
missingindicator_ce_000,0.00034743583322255757
ay_001,0.0003449016227549461
missingindicator_cq_000,0.0003417145113359033
missingindicator_at_000,0.00032696934090481163
missingindicator_bv_000,0.0003119943749203712
ab_000,0.00030665782809032743
az_008,0.00026436892079808726
df_000,0.00024274917659191834
dh_000,0.00024175111686592404
missingindicator_bf_000,0.00023644770741359126
missingindicator_af_000,0.0002327892510458023
cs_009,0.00020569914374600902
missingindicator_by_000,0.0001989257136880741
missingindicator_bh_000,0.0001869006154491463
missingindicator_ap_000,0.00018599551273511679
az_009,0.0001511989956024308
cy_000,0.00014983947996881434
ae_000,0.00012565180393496906
af_000,9.665824873854165e-05
missingindicator_cj_000,8.315169205589854e-05
missingindicator_ba_000,8.12128016094183e-05
missingindicator_ba_006,8.015628971918551e-05
missingindicator_ag_006,6.701007419233194e-05
ag_000,6.683521082064185e-05
missingindicator_ba_003,6.24261711114958e-05
missingindicator_ba_005,6.182059184122382e-05
missingindicator_ci_000,6.112892399788794e-05
da_000,6.058230338820106e-05
missingindicator_ay_007,5.881786428714944e-05
missingindicator_ay_009,5.812399724347265e-05
ea_000,5.392726383176515e-05
missingindicator_az_005,5.199359921434638e-05
missingindicator_cs_001,5.132866795603314e-05
missingindicator_bt_000,5.022337907832498e-05
ak_000,5.006688296409938e-05
missingindicator_ba_004,4.9511177487781546e-05
missingindicator_cs_006,4.708538667112648e-05
missingindicator_ba_009,4.568698291671868e-05
missingindicator_ee_004,4.535705154931571e-05
missingindicator_cn_009,4.451553899631124e-05
missingindicator_cn_008,4.241517967827395e-05
missingindicator_cs_003,4.120950635513209e-05
dz_000,4.1140143729928284e-05
missingindicator_az_001,4.050028389590982e-05
missingindicator_ba_008,4.048119277094899e-05
missingindicator_ay_003,3.973284810556262e-05
missingindicator_ck_000,3.8786951719292273e-05
missingindicator_cn_003,3.811629729279026e-05
missingindicator_cn_006,3.804769982806266e-05
missingindicator_ay_005,3.524730215027378e-05
missingindicator_ee_007,3.407168678304118e-05
missingindicator_cn_004,3.398339175496042e-05
missingindicator_ag_005,3.278903514739692e-05
missingindicator_az_002,3.2005364895253827e-05
missingindicator_ee_008,3.1965890957099144e-05
missingindicator_cs_009,3.194918496563039e-05
missingindicator_cs_000,3.119144254330243e-05
missingindicator_cn_005,3.0910187534915494e-05
missingindicator_ag_001,3.074201334653361e-05
missingindicator_cs_007,3.0139757551891606e-05
missingindicator_ag_004,2.9875879703844944e-05
missingindicator_ee_006,2.9250657209711104e-05
missingindicator_cn_001,2.882291862111632e-05
missingindicator_cs_004,2.8734679001515563e-05
missingindicator_ay_002,2.871211168781744e-05
missingindicator_ee_000,2.7917997160537454e-05
au_000,2.7068870358360916e-05
missingindicator_ay_001,2.7063961410644443e-05
missingindicator_ee_003,2.6644876636541022e-05
missingindicator_cs_005,2.5871037634520293e-05
missingindicator_cs_008,2.582463259121787e-05
missingindicator_ee_009,2.543498775170498e-05
missingindicator_cn_007,2.4721054345948947e-05
missingindicator_ee_002,2.448206159567622e-05
cr_000,2.3819423520524935e-05
missingindicator_cn_000,2.293320603139469e-05
missingindicator_ee_005,2.2667409428230965e-05
missingindicator_ba_007,2.2548486207420657e-05
missingindicator_az_000,2.1986040627805437e-05
missingindicator_az_006,2.1841289517301222e-05
missingindicator_ay_006,2.155820863981182e-05
missingindicator_ba_001,2.1220120262301657e-05
missingindicator_ba_002,2.0749074175954137e-05
missingindicator_ag_007,2.0217166875166934e-05
missingindicator_az_008,1.9129155753108462e-05
missingindicator_ay_000,1.870585769748422e-05
missingindicator_ag_002,1.7606669971783808e-05
missingindicator_ag_008,1.7514950506885374e-05
ef_000,1.610494751184894e-05
missingindicator_ag_003,1.548450321524891e-05
missingindicator_az_003,1.4903740517812732e-05
eg_000,1.4532426267328133e-05
missingindicator_ag_000,1.4457927727983117e-05
dk_000,1.4452371995108052e-05
missingindicator_ay_004,1.2980259032201527e-05
missingindicator_ay_008,1.2867761010495215e-05
dm_000,1.248401402495932e-05
missingindicator_az_004,1.2423050552707803e-05
missingindicator_cn_002,1.1859842200501678e-05
missingindicator_ee_001,1.1481278223214965e-05
missingindicator_cs_002,9.47157025697698e-06
missingindicator_az_009,9.404643662468064e-06
missingindicator_ag_009,8.03056427789691e-06
dl_000,7.733762470007842e-06
dj_000,5.311152875302288e-06
missingindicator_az_007,4.259724861288357e-06
as_000,3.884227943222175e-06
ch_000,1.2058295794316694e-06
cd_000,0.0
